"C3N.01799"	"C3L.01890"	"C3N.00572"	"C3N.02423"	"C3N.02729"	"C3L.00263"	"C3N.01410"	"C3N.00578"	"C3N.02587"	"C3L.00893"	"C3N.01488"	"C3N.01413"	"C3N.01030"	"C3N.02588"	"C3N.00552"	"C3L.01889"	"C3N.00169"	"C3L.00422"	"C3L.00083"	"C3N.00551"	"C3N.01842"	"C3N.02089"	"C3L.01682"	"C3N.01016"	"C3N.00580"	"C3N.02000"	"C3N.01489"	"C3N.00737"	"C3N.01405"	"C3N.01416"	"C3N.02149"	"C3N.02424"	"C3L.00279"	"C3N.02379"	"C3L.00095"	"C3N.00559"	"C3N.02572"	"C3N.00545"	"C3L.02345"	"C3L.00510"	"C3L.00093"	"C3L.00913"	"C3L.00412"	"C3N.01415"	"C3N.00549"	"C3N.02433"	"C3N.01021"	"C3L.01330"	"C3N.00203"	"C3N.00574"	"C3N.01071"	"C3N.00550"	"C3N.00167"	"C3L.00001"	"C3N.01074"	"C3L.01632"	"C3N.02155"	"C3N.00217"	"C3N.02002"	"C3N.02145"	"C3L.02219"	"C3N.02586"	"C3N.00180"	"C3L.01862"	"C3N.00704"	"C3N.02158"	"C3N.02421"	"C3N.00556"	"C3N.00294"	"C3N.01072"	"C3L.00094"	"C3L.00144"	"C3N.00223"	"C3N.02380"	"C3L.01924"	"C3N.00433"	"C3L.01683"	"C3N.00293"	"C3L.00009"	"C3N.00546"	"C3N.01414"	"C3N.02087"	"C3L.00140"	"C3N.02529"	"C3L.00368"	"C3N.02067"	"C3N.02422"	"C3L.00080"	"C3N.00547"	"C3N.01023"	"C3N.01024"	"C3L.00973"	"C3L.02348"	"C3L.02508"	"C3N.00560"	"C3L.00604"	"C3N.00199"	"C3N.00579"	"C3N.02582"	"C3L.02350"	"C3N.00738"	"C3N.00959"	"C3N.02003"	"C3N.00175"	"C3N.01823"	"C3L.02549"	"C3L.02365"
"hsa-mir-1245b"	0.448569	0	0	0.092558	0.392826	0.380462	0.199559	0.465439	0	0.301817	0.487282	0	0	0	0	0	0.880791	0.08988	1.041758	0.172259	0	0.154984	1.071858	0.789062	0.904154	0.642139	0.162942	0	0.166423	0	0.137452	0	1.155513	0	0.485738	0.203115	0.095637	0	0.133381	0.07751	0.499427	0.628065	0.834494	0.751701	0.472398	0.703673	0.467073	0	0	0	0	0.160474	0	0	0.675732	0	0	0	0.087672	0.203749	0.217892	0.462947	0.230974	0.122256	0.200598	0	0.102903	0.750414	0.163619	0.858055	0.580187	0	0.136114	0.093596	0	0.6435	0.540223	0	0.124842	0	0.088466	0	0	0.694467	0	0.170335	0.484984	0	0	0	1.116705	0	0	0.137883	0	0.56544	0.511491	0.105689	0.099984	0.189496	0.86232	0.101827	0.450871	0.732172	0.260478	0.332985	0
"hsa-mir-1246"	0	0	0	0	0	0	0.199559	0	0	0	0.097456	0	0	0	0	0	0	0	0	0	0	1.549843	0	0	0.502308	0	0	0.810279	7.655462	0	0	0.35281	0	0.121472	0	0	0	0	0	0	0	0	0	0.751701	0.314932	0.078186	0	0	0	0	2.109127	0	0	1.355773	0	0	0.332058	0	0	0	0	0	0	1.46707	0	0	0	0	0.163619	0.122579	0.464149	0	0	0	0	0	0	0	0	0	0	0.142336	0	0	0	0	0	0	0	0.157897	0.558353	0	0	0	0.674012	0	0	0	0	0	0	0	0.300581	0	0.390717	0	0.102931
"hsa-mir-1247"	7.71538	18.386787	20.570879	15.364593	58.236485	19.936194	8.181902	10.821467	15.318083	25.855682	5.360106	6.900308	7.148579	5.910358	55.067281	18.192894	5.504947	7.549938	86.168267	4.478735	2.195097	3.56464	16.554258	3.94531	3.516154	15.732396	5.377076	11.208853	5.325539	14.983001	13.745162	5.292153	35.08557	4.615951	60.352962	8.124583	9.372384	25.201571	3.467912	3.720488	32.046547	9.211627	67.760922	7.968028	128.019783	42.924032	30.710045	15.251017	7.279273	15.445166	3.690972	14.282147	40.345573	36.218509	1.351463	19.393354	48.480437	21.958758	22.005688	23.431138	6.31888	17.051888	1.15487	49.758117	9.428121	10.711456	23.153208	3.877141	0.818095	3.432221	8.238651	5.316642	35.661819	37.719072	9.413588	20.867795	12.605196	18.049926	52.558323	3.102119	11.235146	23.058447	20.341049	9.375301	42.691133	16.096693	12.748149	4.960034	7.952795	1.894764	5.397409	30.319788	105.896124	35.43581	8.088138	6.471147	18.285811	21.877576	10.698243	39.225573	27.840607	24.132893	27.202558	12.342335	4.037408	14.318368	9.366765
"hsa-mir-1248"	4.5754	0.823289	1.515749	2.591618	1.571305	3.195878	13.9691	3.490796	2.727878	2.917567	11.01258	3.113554	21.075982	5.502747	11.013456	1.489477	7.376629	4.404131	3.422919	7.751658	4.024345	49.594987	3.453766	13.72968	17.078464	3.772564	22.485952	11.613992	15.310923	4.004078	28.727389	10.231496	4.937191	11.66135	1.092911	11.679088	2.008368	7.358123	4.001437	2.170284	5.327218	7.746141	3.171078	12.027212	17.951113	3.674735	0.817378	10.533077	18.618139	3.128135	15.11541	4.332786	2.27171	9.684093	7.433049	3.485442	8.799531	4.088872	0.964393	10.493075	2.505763	4.166525	10.278346	2.689628	3.410172	6.39232	5.55677	10.75594	18.979806	4.290276	5.105643	3.956571	4.015357	1.871914	1.532445	1.930501	6.032487	10.235629	8.114705	3.231374	10.085092	12.525576	7.710986	5.902967	0.395288	2.299528	2.63277	1.740363	13.013664	14.05283	33.501162	4.728774	2.575852	1.585649	29.791309	1.193707	2.045965	7.926658	2.399606	2.55819	4.927541	3.360276	21.040653	8.053896	4.949081	5.327765	3.190876
"hsa-mir-1249"	10.13765	16.740209	10.935046	12.680417	11.39196	15.675022	13.370425	7.097951	9.967246	9.456942	12.376971	17.839821	11.462376	8.661732	25.431072	5.957907	12.771476	10.875506	19.198111	20.843346	8.048689	18.133167	7.860295	10.731244	10.648924	8.588604	29.166561	14.449967	62.907924	12.787217	16.356743	20.110183	14.91662	17.24908	15.665054	10.257286	9.659294	12.324856	12.137693	12.634156	19.394404	11.933244	17.691275	6.915647	10.077818	11.258762	11.443287	6.473453	16.798321	14.272115	21.44279	9.628414	20.808865	20.142914	9.460244	10.545695	5.644982	12.418056	7.978158	16.605545	9.587266	9.181786	3.580098	9.413698	9.729019	13.562085	11.422249	14.007736	11.944188	7.722497	15.200891	16.197211	7.622373	12.167443	5.801397	27.946298	20.258351	7.484116	36.079229	29.08237	10.085092	22.20443	20.473997	19.213579	13.835089	12.604818	14.133817	8.179705	13.881241	18.631842	13.214347	15.159894	11.639034	6.480479	8.088138	11.748588	13.170899	13.316785	15.697422	7.106082	11.579722	9.673523	24.797912	20.814615	10.549357	5.161272	8.131587
"hsa-mir-1250"	1.43542	1.921008	3.572837	4.998121	0.491033	0.9892	11.773956	0.581799	1.363939	0.201212	1.072021	1.346402	0.369754	32.50697	0.400489	0.106391	1.871682	0.359521	1.190581	1.722591	9.999887	1.859812	0.238191	1.735937	1.406462	2.809357	22.323011	2.971021	0.499269	1.162474	0.687258	2.116861	5.567471	1.822086	1.578649	1.015573	1.625822	0.919765	2.534244	0.07751	0.582664	1.465486	1.001393	1.052381	2.204523	1.798275	2.452133	0.877756	2.379762	0.391017	1.054563	1.444262	2.089973	0.581046	1.351463	0.625592	47.152206	0.15144	1.315081	0.407498	1.307354	0.540105	20.556691	0	1.103291	0.518296	0.823225	1.000553	1.963428	3.67738	1.624523	9.025927	1.905593	0.65517	1.094603	1.746644	1.620668	1.100605	35.829546	2.972864	0.973123	2.277377	0	1.504678	0.790577	1.192348	0.415701	17.316609	1.445963	1.736867	1.861176	1.947142	1.240225	0.482589	8.088138	2.324587	1.022982	0.951199	1.699721	0.947478	2.710148	0.509133	1.202323	4.393034	4.037408	0.665971	1.132246
"hsa-mir-1251"	0	0	0	0	0	0.228277	0	0	0	0.100606	0	0	0	0	0	0	0	0.269641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183953	0	0	0	0	0	0	0.157466	0	0	0	0	0	0	0.160474	0.272605	0	0	0	0	0	0	0	0	0	5.543377	0	0	0	0	0	0	0	0	0	0	0.280787	0	0	0	0.220121	0	0	0.353863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1252"	0	0	0.216536	0	0	0	0.099779	0	0	0	0.097456	0.504901	0	0	0.200245	0	0	0	0	2.067109	0	1.08489	0.119095	0.473437	0	0.561871	0	0	0.166423	0.645819	0.274903	0	0	0	0	0.101557	0	0	0	0.15502	0	0	0	0.15034	4.25158	0.156372	0	0	0	0	0	0	0	0	0.450488	1.876776	0	0	0.526032	0	0	0.617263	0.923896	0	0	0	0	0	0.654476	0	0	0	0	0	0.10946	0	0	0	0	0.25851	0	0	0	1.504678	0	0	0.138567	0.087018	0.144596	1.263176	0	0	0	0	0	0.18848	0	0	0	0.189496	0	0	0	0.104596	0	0	0.102931
"hsa-mir-1253"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1254-1"	1.345706	0.823289	4.114176	1.480925	1.571305	0.304369	2.993379	2.443557	3.777061	0.201212	0.487282	0.504901	1.232514	4.48372	1.201468	3.298127	0.99089	1.617844	2.381161	1.550332	2.073147	13.483637	1.310049	4.260935	6.128155	2.327753	0.97765	2.700928	0.832115	1.162474	7.147484	1.940456	2.100932	1.822086	2.064387	2.538932	0.765093	1.287672	3.868056	0.852612	1.831231	5.024524	3.671774	1.653742	11.652477	1.250974	1.284451	1.536074	2.239776	4.887711	5.272817	3.048998	6.633394	1.549455	20.947682	3.306701	5.312925	5.906149	2.016457	1.426243	2.614709	0.540105	3.464611	3.667674	1.905684	3.19616	2.469675	1.000553	3.27238	0	2.668859	1.236428	0.544455	2.246297	1.204064	0.551572	0.900371	0.660363	2.122308	0.77553	1.23852	1.992705	4.121389	1.736167	1.317628	1.533018	2.217069	0.348073	1.879751	1.421073	3.163999	0.83449	0.763215	0.827295	5.392092	2.010453	1.022982	2.536531	3.799376	0.947478	1.355074	1.221919	2.554936	0.104596	1.562868	2.330897	2.161561
"hsa-mir-1254-2"	0.807423	1.234933	3.464569	1.295809	1.865924	0.913108	2.79382	1.396318	3.25247	0.503029	0.487282	0.757351	1.355765	3.566595	1.201468	3.191736	0.770693	1.707724	2.232339	1.550332	2.317047	13.328653	2.501003	3.787498	8.539232	2.809357	1.303533	2.700928	1.497808	0.904147	5.498065	3.704507	1.470653	1.943558	3.400167	2.335818	0.478183	0.919765	3.734675	1.007632	1.49828	4.396458	3.004179	2.255102	9.290489	1.094602	1.751524	1.316635	2.09979	4.887711	5.800099	1.283789	5.361236	1.162091	19.145731	3.12796	3.984693	7.874865	1.402753	1.426243	1.525247	0.154316	1.385844	4.645721	2.106282	1.468506	2.058063	1.500829	3.435999	0	1.74056	1.112786	1.020854	2.433489	1.094603	1.195072	0.540223	0.550303	1.622941	0.904785	1.503917	2.846722	5.849713	2.430633	2.635255	1.362683	2.355636	0.174036	4.048695	2.842145	4.280704	1.390816	1.812636	1.172001	5.392092	1.382187	1.406601	3.064974	2.199639	1.231721	2.340582	1.018266	2.554936	0.418384	1.823346	3.496346	1.543972
"hsa-mir-1255a"	1.973702	8.644534	0	2.684176	0.196413	1.674032	2.79382	2.559917	4.091817	2.414538	1.072021	0	1.972022	0.407611	0	0	3.192869	0	2.827629	8.440694	4.146294	31.616804	1.905526	0.789062	0	2.969891	0.814708	2.835975	4.493423	1.03331	1.374516	5.292153	1.785793	5.344785	4.614512	1.624917	0	1.103718	4.001437	5.11567	5.24398	3.140327	5.173864	0	3.46425	1.563717	2.685669	5.156819	4.059594	0	0	3.369945	3.634736	0	6.532073	6.613402	1.162202	3.785993	0	0.101875	5.120472	3.857893	7.853118	0	7.522437	2.332333	1.440644	1.625898	0	0	3.945269	4.203856	1.837536	0.467979	1.532445	2.022429	1.170482	4.952724	0.873891	2.455845	1.061589	3.131394	2.526013	3.1251	2.898781	3.236372	1.732085	4.873016	0.578385	2.842145	0.186118	6.258672	1.526431	3.102357	0.134802	1.947627	3.068947	0	2.299622	1.421216	1.847828	4.684022	0	1.359749	1.432629	3.662838	7.308135
"hsa-mir-1255b-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1255b-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1256"	0.179427	0	0.324803	0	0.196413	0.228277	0	0	0	0	0	0	0.123251	0	0	0	0	0	0.148823	0.172259	0.12195	1.704828	0	0.315625	0.100462	0.080267	0.162942	0	0.332846	0.387491	0	0	0.105047	0.121472	0.971476	0.203115	0.095637	0	0.266762	0	0.083238	0.209355	0	0	0	0.156372	0.233536	0.219439	0	0	0.351521	0	0	0	0	0	0.498087	0	0	0.203749	0	0	0.346461	0	0	0.259148	0	0	0.327238	0	0.116037	0	0	0	0	0	0.270111	0	0	0	0.176931	0.854017	0	0.231489	0	0	0.20785	0.087018	0	0	0	0	0	0	0	0	0.255746	0	0	0	0	0.101827	0.15029	0.313788	0.130239	0	1.235178
"hsa-mir-1257"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134802	0	0	0	0	0	0	0	0	0	0.390717	0	0.102931
"hsa-mir-1258"	0.179427	2.881511	0.108268	0.185116	0	0.304369	0	0	0.104918	0.402423	0.194913	0.504901	0	0	0	0	0.220198	0	0.892935	0	0	0.309969	1.54824	0.315625	2.009231	0.160535	0	0	0.166423	0.258328	0	0	0	0	0.607173	0.203115	0.382546	1.103718	0	0.15502	0.416189	0	0	0	0	0	0	0.548598	0.139986	0	0	0.160474	0.817816	0	0	0	0	0	0.876721	0.203749	0.108946	0.540105	0.115487	0	0.501496	0.345531	0	0.250138	2.127047	1.961269	0	0.370929	1.08891	0	0.328381	0.183857	0.450186	0.770424	0	0	0	0.142336	1.32948	0	0.395288	0.255503	0	0.348073	0	0.157897	0	0.139082	0	0.344706	0.134802	0	0	0.528444	0.099984	0.284243	0.246377	0.407306	0.450871	0	0	0	0
"hsa-mir-125a"	10634.485039	9025.579863	16635.994404	5329.477499	10556.418682	11267.75396	8497.80286	11225.817367	16986.704429	16542.002707	7758.704032	10294.250183	13424.537693	13191.206202	6829.143848	10385.16379	10102.678267	11367.061004	15369.50188	7150.473454	12809.610818	4129.092652	26239.214275	8598.251722	8636.779958	14536.332966	8233.117408	14554.628372	4489.761819	15046.808317	14127.552631	5112.572921	8692.607649	9131.201485	18635.950207	9894.625172	10159.473027	15386.938853	14390.102258	10177.2386	14368.839103	7469.373434	21670.476967	7423.195351	11550.124311	18504.088885	26064.538036	23665.629232	5887.811572	11974.695735	14533.290635	10945.74132	16060.809138	16424.996891	15016.109443	11910.379466	10111.159665	16737.722177	20006.50176	13138.45011	14668.734901	13134.505752	10478.02276	8871.860012	11291.980591	16890.583602	11571.252813	8200.528742	4260.148347	12329.273057	7901.446243	13465.817455	21127.926158	11367.292978	9697.747197	6066.27722	8428.734409	11108.958816	46691.266292	4979.806495	16407.205568	12429.214483	13737.520168	8321.100109	11026.829796	15692.572577	18215.026354	11043.210858	13510.641128	7367.788135	8742.314275	16483.116051	24319.951307	13916.138881	7499.321607	7599.011535	9495.706734	11823.931383	11631.79006	19720.988685	17761.445169	10780.784637	5289.920656	12035.554291	11660.556071	20324.923734	8359.888797
"hsa-mir-125b-1"	3460.43764	4822.964054	2793.85013	3288.11546	7845.721435	4051.841104	2196.940368	7445.518278	11127.747668	4503.717786	3537.084913	2694.654542	3381.2777	6056.690525	14673.928606	3753.587777	2299.306157	7684.488805	8931.437592	2200.953971	3513.740637	2470.295315	5483.746993	2723.842316	3675.08444	4925.52436	2612.932844	5670.599354	2646.792644	3919.088176	3639.581504	6025.292965	5866.538482	3201.404998	8544.740731	2666.386639	4619.24642	5506.267373	5072.355323	2884.928034	5394.640735	3971.258049	8078.904423	5463.962488	8686.291853	3751.357111	6099.505452	4477.106248	5719.968346	2608.082436	4084.14854	4856.892885	5333.884602	9898.499082	3217.383783	3591.792232	1207.694177	3801.288086	5485.114949	4305.522475	3275.903431	4323.07787	1532.974838	4318.319912	2740.072815	2397.552052	4412.898456	4625.554462	5777.060254	8531.888336	4912.904698	3781.739734	7026.194967	5395.324894	2523.826777	4772.749712	3878.708843	4596.677713	7692.740797	3451.237138	3696.363015	4743.2079	10472.582393	3213.644697	5203.179488	4187.780447	5165.840947	1802.232659	3130.653714	2830.30308	2170.130811	5041.151462	3115.82651	5986.376793	3235.255223	2264.524537	4022.111254	3755.122074	3110.589241	5600.729709	8511.095406	4989.501173	14112.116019	3371.96763	4808.943979	4246.062157	2233.510146
"hsa-mir-125b-2"	3407.14769	4826.25721	2803.594231	3228.23057	7735.042651	4041.949099	2191.552286	7362.670058	11066.265501	4503.315362	3484.945705	2670.840063	3364.638767	6034.475731	14439.642355	3703.903089	2297.434475	7619.056008	8952.421574	2178.732552	3602.276218	2408.456565	5440.158082	2718.792318	3614.80751	4948.801886	2593.379842	5698.959103	2571.569413	3934.587832	3643.430149	5849.064259	5861.181104	3162.533832	8431.563749	2734.93781	4611.882404	5516.016886	4989.792333	2919.652584	5267.869591	3956.603187	7968.083604	5599.869986	8704.0855	3732.827064	6065.525896	4485.335214	5562.064127	2685.308265	4084.500061	4763.01585	5341.881021	9958.54046	3226.168295	3534.952723	1288.716278	3813.403262	5507.822014	4314.181808	3341.3801	4342.135862	1579.97806	4254.746888	2778.387095	2368.613845	4373.486552	4476.096925	5634.384471	8360.522448	4895.499097	3776.423092	7097.450547	5465.521679	2493.834647	4700.585751	3797.225254	4603.061223	7648.047496	3457.182867	3686.366389	4682.288053	10354.125697	3184.245606	5127.152378	4176.112473	5313.830328	1791.094337	3104.770983	2822.092438	2123.229184	4981.763621	3079.47838	5942.185442	3188.883232	2263.959097	4016.101232	3760.512202	3125.386811	5562.451614	8513.682365	5011.597535	13785.384742	3325.736173	4737.182303	4315.489594	2215.394205
"hsa-mir-126"	2330.044757	7515.942305	5444.461984	2794.319654	2432.085259	5789.866281	3653.717976	3269.595669	2490.657281	2668.970405	2615.049305	6943.140702	4150.489413	2559.083202	2113.38213	3695.072619	6782.644885	1458.576141	8146.845014	4322.496516	5870.787075	2671.155013	8780.783626	4993.973933	1124.667058	3069.583185	4375.961865	4914.879564	2729.504915	5699.482066	2791.779898	4285.232952	1814.785375	5502.578069	5322.111164	5741.744484	2365.474968	13024.797426	3350.270084	1879.776321	2528.847094	7134.614531	7042.79653	3463.536424	3159.868365	2445.418849	10876.026816	3842.817528	4528.407431	5187.229624	5741.219265	2764.799033	4659.91363	1951.732155	9037.010275	4262.873791	2363.421311	2676.848261	2980.411782	2020.477184	2317.394721	3405.130782	1652.619402	4475.051867	5923.668526	3573.39347	2021.017761	1714.571872	1725.853392	2595.739658	3272.716977	5613.137397	2973.542333	5164.517865	2387.548669	3185.510286	3054.058914	3670.8486	4797.039356	2116.033227	5348.637194	3636.687127	2815.573426	3480.667146	3557.46266	5249.225357	2538.752294	2238.193531	2840.738204	5934.873187	4946.074297	3688.861122	5282.880985	5970.106654	4269.054069	1512.866243	4589.610769	6389.943164	2412.103933	5219.180472	13381.600241	5200.078488	5017.744785	4625.551352	8151.136602	7923.718394	2228.054777
"hsa-mir-1260a"	0	0	0	0	0	0	0	0	0	0.100606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160535	0	0	0	0	0	0	0	0.364417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087672	0	0	0	0	0	0	0.086383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170335	0	0	0	0	0	0.556326	0	0	0	0.062827	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1260b"	0.269141	2.332652	0.97441	0.83302	1.374892	0.152185	1.197351	4.421675	1.049184	1.710298	0.389826	0.1683	0.986011	1.222833	1.001223	0	0.550495	2.786287	0.744113	1.205813	7.073091	4.339561	0.595477	5.523435	5.224001	3.451495	1.140592	4.456532	0	0.645819	3.986097	0.529215	1.155513	2.065031	1.578649	6.804338	4.590555	2.023484	3.868056	2.402815	0.74914	1.884196	1.335191	2.856463	0.944795	0.156372	2.335365	1.206915	0.139986	5.474236	4.745536	5.135154	1.272158	1.549455	2.027195	1.340554	0.664116	4.694631	2.717834	1.935616	0.762623	0.925894	1.15487	2.689628	2.005983	3.282543	0.514516	2.501381	0.327238	0.122579	0.928299	0.741857	1.08891	1.029553	0.547302	0.827358	1.620668	0.770424	2.621674	0.25851	0.353863	1.138689	3.190753	1.504678	0	3.917714	0.415701	0.174036	4.482484	1.263176	1.488941	0.278163	0.47701	0.896236	4.448476	2.387414	0.383618	0.211378	2.49959	0.663234	2.217394	1.221919	0.450871	0.209192	1.953585	0.332985	2.470355
"hsa-mir-1261"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1262"	1.43542	0	1.082678	1.943714	1.276685	2.28277	0.698455	1.396318	0.524592	0.804846	3.31352	1.514702	1.355765	4.279915	3.203915	1.170303	1.100989	2.786287	1.488226	1.205813	14.75593	0.464953	1.310049	0.63125	1.607385	2.247485	1.303533	1.89065	1.664231	1.420802	2.061774	1.764051	0.735326	2.793865	0.728607	1.421802	3.06037	2.023484	0.266762	3.720488	2.830085	0.209355	4.005572	1.653742	1.732125	0.703673	2.101828	1.865232	0.979902	0	0.175761	1.765209	2.635184	0.968409	0.450488	0	3.486607	0.908638	2.279474	4.686228	0.980516	2.469052	0.692922	0	2.607778	0.863827	0.720322	0.750414	3.926856	2.941904	2.552821	0.989143	0.476398	2.059106	0.985143	1.470858	1.080445	1.760968	2.871357	3.102119	0.176931	1.850369	1.99422	2.546378	2.898781	2.044025	2.42492	10.181122	0.867578	0.157897	0	1.808061	1.431029	1.861414	5.392092	0.56544	3.19682	1.268265	0.799869	1.515964	0.985508	4.174889	1.352613	0.836768	2.214063	1.498434	7.925724
"hsa-mir-1263"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344518	5.853592	0.464953	0	0	0	0.160535	0	0	0.332846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1264"	0.358855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89511	0	0	0	0	0	0	0	0	0.166493	0
"hsa-mir-1265"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187191	0	0	0	0	0	0	0	0.284672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1266"	0.089714	0	2.165356	0.185116	1.276685	3.880709	0.997793	0.465439	0.419673	0.70424	0.584739	0.504901	0.369754	1.019027	2.402936	5.638733	0.110099	1.977365	0.148823	2.067109	4.877993	10.38395	0.714572	2.051561	1.808308	0.481604	0.488825	1.485511	0	1.291638	3.023936	0.882026	2.311026	1.336196	0.607173	1.929589	2.677824	0.735812	0.933669	1.627713	1.248567	2.930972	0.333798	0.45102	8.345693	1.407345	0.233536	1.097196	0.979902	3.519152	3.16369	3.209471	0.999552	1.355773	2.027195	4.557885	5.146896	1.817276	0.701377	0.916871	0.980516	0.925894	2.194254	2.445116	0.401197	2.850629	0.308709	0.125069	2.290666	0	2.436784	0.989143	0.204171	0.935957	0.875683	0.367714	0.270111	0.550303	1.997466	2.5851	0.530794	0.427008	3.589597	0.925956	0.395288	0.170335	2.078503	1.479308	0.144596	0.315794	1.488941	0.556326	1.335627	0.620471	1.078418	0.37696	0.767237	2.325153	0.799869	0.284243	0.86232	0.610959	7.213938	0.52298	0.911673	0.665971	4.014328
"hsa-mir-1267"	0.358855	0	0	0	0	0.076092	0	0	0	0	0	0	0	0.407611	0	0	0.110099	0	0	0.516777	0.12195	0.309969	0	0	0.200923	0	0	0	0	0	0.687258	0	0	0	0	0	0.095637	0	0	0	0	0	0.667595	0.15034	0.629864	0	0	0	0	0	0.351521	0	0	0	0	0	0	0	0.087672	0	0	0	0.346461	0	0	0	0	0	1.145333	0	0	0	0	0	0	0	0.360148	0	0	0	0	0.427008	0	0	0	0	0	0	0	0	0	0	0	0	0.134802	0	0	0	0	0.378991	0.369566	0	0.15029	0	0.520956	0	0
"hsa-mir-1268a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1268b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200245	0	0	0	0	0	0	0	0	0.157812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199967	0	0	0	0	0	0	0	0
